update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1288,21021952,148.6400303463305,134710,3.9602659000140643,0.019336516291813405,3.819444417953491,3.9944443702697754,14.304272013949433,6.961145690004224,2.0,65.0,0.7260974906384945,3.648759678006172,0.006116566975833848,0.005581394019827712,0.06385618065984827,3.9602659000140643,0.019336516291813405,3.819444417953491,3.9944443702697754
1289,21038336,148.78928678145888,134820,3.9549269950302848,0.12110058026902144,0.0,3.9944443702697754,14.918795620437956,7.03028983697014,2.0,44.0,0.7494738064706326,3.6307347416877747,0.006579252503797761,0.009987810117308982,0.0680308122495251,3.9549269950302848,0.12110058026902144,0.0,3.9944443702697754
1290,21054720,150.92828650015858,134928,3.95070147778032,0.17096382069594104,0.0,3.9944443702697754,15.119815668202765,7.244920290251973,2.0,63.0,0.8237999798730016,3.626401450484991,0.014587201754693524,0.0206447964446852,0.10373408652413581,3.95070147778032,0.17096382069594104,0.0,3.9944443702697754
1291,21071104,150.06059023284385,135038,3.9586067988639977,0.019148527336277164,3.808333396911621,3.9944443702697754,14.90154968094804,6.893470373338598,2.0,69.0,0.7754882164299488,3.6389085687696934,0.009774086085599265,0.006572132842848077,0.06159166975840048,3.9586067988639977,0.019148527336277164,3.808333396911621,3.9944443702697754
1292,21087488,150.4075532621945,135147,3.9508793292957387,0.1702945111888536,0.0,3.9944443702697754,15.075022872827082,7.066398467752707,2.0,59.0,0.752829615958035,3.623982612043619,0.004402167398438905,0.02018786358530633,0.09932925822651487,3.9508793292957387,0.1702945111888536,0.0,3.9944443702697754
1293,21103872,152.573675598125,135254,3.9517070586031133,0.1698115845975209,0.0,3.9944443702697754,14.788181818181819,7.124965477660312,2.0,49.0,0.7389311632141471,3.6264725662767887,0.005821804138577136,0.01714882821397623,0.09806825268831319,3.9517070586031133,0.1698115845975209,0.0,3.9944443702697754
1294,21120256,152.32993892784233,135361,3.956858463669821,0.1184815006009006,0.0,3.9944443702697754,14.291194420226677,6.979652895772214,2.0,43.0,0.705099493265152,3.6373523958027363,0.00018844706119125476,0.013511415229004342,0.0770646017809723,3.956858463669821,0.1184815006009006,0.0,3.9944443702697754
1295,21136640,148.9425730154585,135471,3.9608633001679165,0.01907729902591754,3.8388888835906982,3.9944443702697754,14.089209855564995,6.867828102254152,2.0,58.0,0.6593087846413255,3.64882642775774,-0.005771986810032104,0.005463624343974516,0.057724600153954225,3.9608633001679165,0.01907729902591754,3.8388888835906982,3.9944443702697754
1296,21153024,153.28135735868872,135578,3.959260923122241,0.01822589483940484,3.855555534362793,3.9944443702697754,14.666064981949459,6.561321686776666,2.0,52.0,0.6575804436579347,3.6425142139196396,0.0020316381815064233,0.006654482014710084,0.05724799493434157,3.959260923122241,0.01822589483940484,3.855555534362793,3.9944443702697754
1297,21169408,152.6321801713292,135686,3.9600761433267846,0.018818200084680412,3.825000047683716,3.9944443702697754,14.372583479789103,6.77455337762053,2.0,63.0,0.6836700001731515,3.643941342830658,0.0005823427618452115,0.006772856660973048,0.062806102468227,3.9600761433267846,0.018818200084680412,3.825000047683716,3.9944443702697754
